"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"11",-98.9649793267402,-98.9846225107204,-98.9869421366365,-99.0005371879218,-99.2080870219071,-99.0943159510617,-98.8213571502551,-99.0671607572258,-99.1454976528255,-99.0659217941676,-98.875273032721,-98.7918917594293,-99.2076585235108,-99.0940230974778,-98.8220209771913,-98.8832217424527
"12",-98.9655531599192,-98.9845591343615,-98.9883729640512,-99.0033922976574,-99.2025926338543,-99.0917549854083,-98.8259118302471,-99.0391292769526,-99.1797003900185,-99.0813169655943,-98.8457928118507,-98.8238351522948,-99.2021350751738,-99.0914493779961,-98.8265603207128,-98.8573117672299
"13",-98.9620675198714,-98.9837554341959,-98.985122387313,-99.0032072220205,-99.1900555889086,-99.0802956712296,-98.8331981150851,-99.0177869832841,-99.1974685177222,-99.0833441229713,-98.8269673953605,-98.8670193315353,-99.1896964561827,-99.0800707635987,-98.8337716804883,-98.855562002132
"14",-98.967463707771,-98.9855888800204,-98.9871586665702,-99.0023865095582,-99.179841236551,-99.078722847732,-98.8489881437021,-99.0541171679613,-99.150598533347,-99.0658596216573,-98.8737378134324,-98.8282846258053,-99.1793899882836,-99.078425209056,-98.8496166380971,-98.8694404728181
"15",-98.9690668228262,-98.9861556995669,-98.9889826458411,-98.9983121818581,-99.2038617965294,-99.0945919366215,-98.8116631679467,-99.0676102705537,-99.12807203234,-99.0594332817727,-98.881811896456,-98.8028901731162,-99.2034530883654,-99.0943171223583,-98.8123197909148,-98.9099859201046
"16",-98.960553681195,-98.9832593718293,-98.9855234974389,-99.0036770598722,-99.196553038105,-99.082586996541,-98.8342742007416,-99.0607375257798,-99.156240318809,-99.0655949280202,-98.8684970781937,-98.8037982743216,-99.1960844027693,-99.0822826857711,-98.8349919106005,-98.8627010793366
"17",-98.9639118253638,-98.9841135277845,-98.9867400915175,-99.0012521480809,-99.2115721360403,-99.0952155992811,-98.8134695053957,-99.0436020298591,-99.184224262375,-99.0828491816103,-98.8378151468223,-98.8327028310214,-99.211144699754,-99.0949292297235,-98.8141355118729,-98.8728433017456
"18",-98.9668553122589,-98.9851126313699,-98.9877615942737,-98.9999070922729,-99.2127323968303,-99.0992969696936,-98.8242927279264,-99.0529071187612,-99.1836800084724,-99.0856736722979,-98.8485302936342,-98.8464401062108,-99.2122700945977,-99.0989783355285,-98.8249706966949,-98.8884007743635
"19",-98.9583869719218,-98.9821665335963,-98.9865127489941,-99.0019877749707,-99.1966076403177,-99.0824753641271,-98.8305310713077,-99.0564809150274,-99.1536092167371,-99.0643972870737,-98.8677451945809,-98.8177500612005,-99.196204774161,-99.0822138656505,-98.8311097173455,-98.8796009120105
"20",-98.9706869969877,-98.9867618021169,-98.9890029684098,-99.0004179299983,-99.1869326737056,-99.0857825538075,-98.8404437984965,-99.063007466025,-99.1462340216423,-99.0670656783285,-98.8753442388843,-98.8308827538418,-99.1865047214575,-99.0854957072111,-98.8410410290477,-98.8878882859888
