"","t","Rcr","Pen_S","Pen_I","Pen_R","Macro_S","Macro_R","Multi_S","Multi_R","Totcarrier_T","Cross_T","Reduction","Scenario","Lambda","pi"
"5125117",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.468798131535498,0.58,3,4,0.0221425175151217,0.468798131535498
"5490117",365,0.58,0.579249067497873,0.363699441354514,0.0570514911476131,0.663380661257468,0.336619338742533,0.531217484216228,0.288587755460888,0.467888188942079,0.685887381745563,3,4,0.0221425175151217,0.468798131535498
"5491117",0,0.58,0.57,0.361037735849056,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.468798131535498,0.58,4,4,0.0221425175151217,0.468798131535498
"5856117",365,0.58,0.584107192735078,0.365841184217554,0.0500516230473672,0.635636681342457,0.364363318657543,0.524508007390988,0.304764133313452,0.469652795672461,0.732794912510519,4,4,0.0221425175151217,0.468798131535498
"1118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,1,1,0.0285211777840458,0.504988509245106
"366218",365,0.58,0.594294727201692,0.343762287469535,0.061942985328773,0.73431731825895,0.26568268174105,0.562772318430474,0.234160272969831,0.504971394545307,0.577168424148733,1,1,0.0285211777840458,0.504988509245106
"367118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,2,1,0.0285211777840458,0.504988509245106
"732118",365,0.58,0.63891411344277,0.311573349605954,0.049512536951277,0.757636322522426,0.242363677477574,0.605019738831545,0.208469302866349,0.513898066121425,0.577339936639444,2,1,0.0285211777840458,0.504988509245106
"733118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,3,1,0.0285211777840458,0.504988509245106
"1098118",365,0.58,0.67808828572031,0.282997004509502,0.0389147097701876,0.778119937762523,0.221880062237478,0.642109135602693,0.185900912119861,0.523975421311983,0.577490361094291,3,1,0.0285211777840458,0.504988509245106
"1099118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,4,1,0.0285211777840458,0.504988509245106
"1464118",365,0.58,0.7116470280193,0.258230047830836,0.0301229241498635,0.795675058257611,0.204324941742389,0.673879482453132,0.166557396176221,0.535012485879854,0.577616367301977,4,1,0.0285211777840458,0.504988509245106
"1465118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,1,2,0.0285211777840458,0.504988509245106
"1830118",365,0.58,0.594294727201692,0.343762287469535,0.061942985328773,0.73431731825895,0.26568268174105,0.562772318430474,0.234160272969831,0.504971394545307,0.577168424148733,1,2,0.0285211777840458,0.504988509245106
"1831118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,2,2,0.0285211777840458,0.504988509245106
"2196118",365,0.58,0.613320979373153,0.331120010217533,0.0555590104093146,0.744256539177339,0.255743460822661,0.580793289473535,0.223215770923044,0.50871488832087,0.577263722663793,2,2,0.0285211777840458,0.504988509245106
"2197118",0,0.58,0.57,0.361037735849057,0.0689622641509434,0.72,0.28,0.5394,0.2494,0.504988509245106,0.58,3,2,0.0285211777840458,0.504988509245106
