"","Scenario","Outcome","Variable","Moyenne","Ecart_type"
"62","3","PropAns","TreatmentDuration_Amox","0.466066987524947","0.0460904643344795"
"63","3","PropAns","TreatmentDuration_Macro","0.0362983229834062","0.0499782300101982"
"64","4","PropAns","Rcr","-0.937541657155987","0.00599028764696809"
"65","4","PropAns","Ramox","-0.853110819306082","0.0204124152922733"
"66","4","PropAns","Rmacro","0.847191643534776","0.0143154673560016"
"67","4","PropAns","ConsoAmox","0.505895159949127","0.0359930542381773"
"68","4","PropAns","ConsoMacro","-0.0993274207904401","0.064480791175274"
"69","4","PropAns","pi","-0.153068673503036","0.058287240642752"
"70","4","PropAns","LambdaAge","-0.226015968103599","0.0498262418991789"
"71","4","PropAns","TreatmentDuration_Amox","0.567823692584176","0.0306942559859066"
"72","4","PropAns","TreatmentDuration_Macro","-0.365154610828206","0.0469414686978246"
"73","1","PropMr","Rcr","0.916676063380036","0.00683229213769791"
"74","1","PropMr","Ramox","0.790294122504139","0.0195252971263445"
"75","1","PropMr","Rmacro","-0.912679485907101","0.00842809281339594"
"76","1","PropMr","ConsoAmox","0.744632035934814","0.0217890572045887"
"77","1","PropMr","ConsoMacro","0.0175728272229631","0.0502187183711037"
"78","1","PropMr","pi","0.253042916573751","0.051788772092869"
"79","1","PropMr","LambdaAge","0.211733199731291","0.0300997839189833"
"80","1","PropMr","TreatmentDuration_Amox","0.403506924075422","0.0460895577763956"
"81","1","PropMr","TreatmentDuration_Macro","0.028188592273067","0.046484922072056"
"82","2","PropMr","Rcr","0.897594526884948","0.00864935269680537"
"83","2","PropMr","Ramox","0.693484309435913","0.0351210976418441"
"84","2","PropMr","Rmacro","-0.896085995014871","0.00967433432984843"
"85","2","PropMr","ConsoAmox","0.724231910869305","0.0343352894229258"
"86","2","PropMr","ConsoMacro","-0.00796260116943186","0.0521993786124957"
"87","2","PropMr","pi","0.628197574569967","0.0396880900479665"
"88","2","PropMr","LambdaAge","0.54826352420607","0.036376702242893"
"89","2","PropMr","TreatmentDuration_Amox","0.452390900154652","0.0352051882243551"
"90","2","PropMr","TreatmentDuration_Macro","-0.00632246851167375","0.0412444495217283"
"91","3","PropMr","Rcr","0.914153303177721","0.00705364626976908"
"92","3","PropMr","Ramox","0.675458093537135","0.0277342555678918"
"93","3","PropMr","Rmacro","-0.913739529890663","0.00860390644485117"
"94","3","PropMr","ConsoAmox","0.497872437369859","0.0352247075305928"
"95","3","PropMr","ConsoMacro","-0.00574926961804463","0.0285833652839172"
"96","3","PropMr","pi","0.595006347117662","0.0283098328773774"
"97","3","PropMr","LambdaAge","0.706339060568034","0.0278843807237187"
"98","3","PropMr","TreatmentDuration_Amox","0.326442242250805","0.0351576068675051"
"99","3","PropMr","TreatmentDuration_Macro","-0.0210751799629477","0.0501081020499096"
"100","4","PropMr","Rcr","-0.922088456505901","0.00710853728380384"
"101","4","PropMr","Ramox","-0.808516136149836","0.0188452339259111"
"102","4","PropMr","Rmacro","0.797885339300627","0.0164408291041054"
"103","4","PropMr","ConsoAmox","0.625076906841994","0.0305713514265063"
"104","4","PropMr","ConsoMacro","-0.0579646735083766","0.0368240583854905"
"105","4","PropMr","pi","0.590578920675935","0.0289091310291209"
"106","4","PropMr","LambdaAge","0.591349616822953","0.0319149053743501"
"107","4","PropMr","TreatmentDuration_Amox","-0.472466156077243","0.0337728807876191"
"108","4","PropMr","TreatmentDuration_Macro","0.558716606242808","0.0357971547143815"
"109","1","PropAnsMr","Rcr","-0.0211312671945646","0.0446241397173043"
"110","1","PropAnsMr","Ramox","-0.907202488768027","0.0116127182506752"
"111","1","PropAnsMr","Rmacro","0.0367430294038507","0.0511212441087233"
"112","1","PropAnsMr","ConsoAmox","0.947075457775356","0.00735834442202631"
"113","1","PropAnsMr","ConsoMacro","-0.0374766186556844","0.043253107178392"
"114","1","PropAnsMr","pi","0.651597881422765","0.0404142965941956"
"115","1","PropAnsMr","LambdaAge","0.580393492856439","0.0327254199751645"
"116","1","PropAnsMr","TreatmentDuration_Amox","0.721848630311706","0.0357051941222046"
"117","1","PropAnsMr","TreatmentDuration_Macro","0.0574199108648677","0.0350228103562545"
"118","2","PropAnsMr","Rcr","-0.0398678314722292","0.0431456959102263"
"119","2","PropAnsMr","Ramox","-0.850457422808217","0.0143379661913597"
"120","2","PropAnsMr","Rmacro","-0.00696670099439865","0.0348106536849897"
"121","2","PropAnsMr","ConsoAmox","0.877171146250218","0.0132218506512129"
"122","2","PropAnsMr","ConsoMacro","0.00899477465485201","0.0576104828003134"
"123","2","PropAnsMr","pi","0.853953350980265","0.0179842684020689"
"124","2","PropAnsMr","LambdaAge","0.792289151603283","0.0195794451631649"
"125","2","PropAnsMr","TreatmentDuration_Amox","0.651918683825155","0.0342850732651329"
"126","2","PropAnsMr","TreatmentDuration_Macro","0.0667494656148391","0.0387422724737496"
"127","3","PropAnsMr","Rcr","0.00851047881526861","0.0520973522356829"
"128","3","PropAnsMr","Ramox","-0.907217135809446","0.0075012139983344"
"129","3","PropAnsMr","Rmacro","-0.01302407872596","0.0405947742451209"
"130","3","PropAnsMr","ConsoAmox","0.671236917905074","0.0295877512794298"
"131","3","PropAnsMr","ConsoMacro","-0.00874515596146333","0.038027009063284"
"132","3","PropAnsMr","pi","0.845728572090588","0.0146105780198412"
"133","3","PropAnsMr","LambdaAge","0.900955366489375","0.00969122535925852"
"134","3","PropAnsMr","TreatmentDuration_Amox","0.464025900087849","0.035243706756227"
"135","3","PropAnsMr","TreatmentDuration_Macro","0.0349100962898835","0.0478885643844366"
"136","4","PropAnsMr","Rcr","0.48601299770407","0.0363305796679976"
"137","4","PropAnsMr","Ramox","0.895868870288583","0.0104416382426836"
"138","4","PropAnsMr","Rmacro","-0.895663437073108","0.00665849433587367"
"139","4","PropAnsMr","ConsoAmox","0.610797352134014","0.0245358559631068"
"140","4","PropAnsMr","ConsoMacro","0.00690863537521541","0.0480725586508154"
"141","4","PropAnsMr","pi","0.627233459831016","0.0292550799666918"
"142","4","PropAnsMr","LambdaAge","0.646812676971708","0.0311526731054331"
"143","4","PropAnsMr","TreatmentDuration_Amox","-0.672752642674281","0.0261525228731085"
"144","4","PropAnsMr","TreatmentDuration_Macro","0.658907320237629","0.0289129684785098"
