"","t","Pen_S","Pen_I","Pen_R","Pen_NS","Macro_S","Macro_R","Multi_R","Totcarrier_T","Reduction","Scenario","Theta"
"36672",365,0.642487979097592,0.315182104571766,0.0423299163306417,0.357512020902408,0.758212992586652,0.241787007413348,0.207365361550317,0.536992502983762,4,2,0.5
"36682",365,0.57641663902775,0.36117339015445,0.0624099708177992,0.423583360972249,0.723550118652598,0.276449881347402,0.245564000760288,0.520133181252021,1,3,0.5
"36692",365,0.529525499746779,0.413806815507782,0.0566676847454393,0.470474500253221,0.698970892378083,0.301029107621917,0.272653281542079,0.525718268041948,2,3,0.5
"366102",365,0.503661269564073,0.442568077316337,0.0537706531195908,0.496338730435927,0.685426251024401,0.314573748975599,0.287582420079746,0.52954073216802,3,3,0.5
"366112",365,0.476059408405367,0.473577902867203,0.0503626887274298,0.523940591594632,0.670969338039211,0.329030661960789,0.303517046789495,0.532888632572562,4,3,0.5
"366122",365,0.57641663902775,0.36117339015445,0.0624099708177992,0.423583360972249,0.723550118652598,0.276449881347402,0.245564000760288,0.520133181252021,1,4,0.5
"366132",365,0.590463823130341,0.354898196750828,0.0546379801188306,0.409536176869659,0.699599450096111,0.300400549903889,0.260605113259742,0.519281401303259,2,4,0.5
"366142",365,0.598815416233261,0.353509452786831,0.0476751309799074,0.401184583766739,0.67286221356415,0.32713778643585,0.276659665988558,0.519851298672936,3,4,0.5
"366152",365,0.601720721245758,0.356844175167408,0.0414351035868343,0.398279278754242,0.642894664154625,0.357105335845375,0.294068918695481,0.52182921342906,4,4,0.5
"36620",365,0.576614912240016,0.361498428858902,0.0618866589010816,0.423385087759984,0.723832945952392,0.276167054047608,0.245303104716725,0.520124320483407,1,1,0.75
"366110",365,0.623451363173601,0.326815548756295,0.049733088070104,0.376548636826399,0.748414921698528,0.251585078301472,0.218215559844653,0.529438680929299,2,1,0.75
"36623",365,0.665028251192789,0.295717917275627,0.0392538315315833,0.334971748807211,0.770248649996635,0.229751350003365,0.19415743044363,0.540132327709119,3,1,0.75
"36633",365,0.700977861922317,0.268546069704824,0.0304760683728597,0.299022138077684,0.789137378712571,0.21086262128743,0.173345134796661,0.552003413925259,4,1,0.75
"36643",365,0.576614912240016,0.361498428858902,0.0618866589010816,0.423385087759984,0.723832945952392,0.276167054047608,0.245303104716725,0.520124320483407,1,2,0.75
"36653",365,0.596222157222105,0.348028360675307,0.0557494821025877,0.403777842777894,0.734114906096673,0.265885093903327,0.233976726453917,0.523705511901619,2,2,0.75
"36663",365,0.618234573479404,0.33272886108509,0.0490365654355065,0.381765426520597,0.745667262646171,0.254332737353829,0.22125100180635,0.528530302971023,3,2,0.75
"36673",365,0.648316582215239,0.311143875777842,0.0405395420069188,0.351683417784761,0.761467436121373,0.238532563878627,0.203844116692446,0.536581746566065,4,2,0.75
"36683",365,0.576614912240016,0.361498428858902,0.0618866589010816,0.423385087759984,0.723832945952392,0.276167054047608,0.245303104716725,0.520124320483407,1,3,0.75
"36693",365,0.527752308856275,0.416444406643603,0.0558032845001219,0.472247691143725,0.698245248110764,0.301754751889236,0.273506534026885,0.525786060047822,2,3,0.75
"366103",365,0.500426410004408,0.446773009466876,0.0528005805287153,0.499573589995592,0.68394970142906,0.31605029857094,0.289264680272285,0.529717408187575,3,3,0.75
"366113",365,0.47160664856508,0.479252279960599,0.0491410714743213,0.52839335143492,0.668871380668052,0.331128619331947,0.305885720765206,0.533048185591128,4,3,0.75
"366123",365,0.576614912240016,0.361498428858902,0.0618866589010816,0.423385087759984,0.723832945952392,0.276167054047608,0.245303104716725,0.520124320483407,1,4,0.75
"366133",365,0.591032309099079,0.355071739187048,0.053895951713873,0.408967690900921,0.698785662023029,0.301214337976972,0.261053339984336,0.519146412969179,2,4,0.75
"366143",365,0.599328666337382,0.353914218526408,0.0467571151362099,0.400671333662618,0.670731693787619,0.329268306212381,0.277886131330907,0.519667386125358,3,4,0.75
"366153",365,0.601786060808329,0.357838146729725,0.0403757924619461,0.398213939191671,0.639174988759259,0.36082501124074,0.296185031159501,0.52167391837411,4,4,0.75
"36624",365,0.577516061903586,0.36103901379805,0.0614449242983635,0.422483938096414,0.72429305396193,0.27570694603807,0.244785554798259,0.52011371164714,1,1,1
"366114",365,0.626353010161439,0.324793239672229,0.0488537501663319,0.373646989838561,0.749940240990895,0.250059759009105,0.216529166514795,0.529221911236887,2,1,1
"36625",365,0.669484444015362,0.292448540836728,0.0380670151479106,0.330515555984638,0.772605283828842,0.227394716171158,0.19156101226602,0.539794571556599,3,1,1
"36634",365,0.706493589329076,0.264389880275863,0.0291165303950619,0.293506410670925,0.792065355351827,0.207934644648173,0.170126127878708,0.551613567345496,4,1,1
"36644",365,0.577516061903586,0.36103901379805,0.0614449242983635,0.422483938096414,0.72429305396193,0.27570694603807,0.244785554798259,0.52011371164714,1,2,1
"36654",365,0.599144625490426,0.346054343522821,0.0548010309867537,0.400855374509574,0.735639925479812,0.264360074520188,0.232286560720631,0.523561527302443,2,2,1
"36664",365,0.622971630208768,0.329359477963709,0.0476688918275226,0.377028369791232,0.748151252288621,0.251848747711379,0.218505870598559,0.528277937537993,3,2,1
"36674",365,0.654498350728621,0.306603189379554,0.0388984598918255,0.345501649271379,0.764721744426326,0.235278255573674,0.200254253717382,0.536244198724068,4,2,1
"36684",365,0.577516061903586,0.36103901379805,0.0614449242983635,0.422483938096414,0.72429305396193,0.27570694603807,0.244785554798259,0.52011371164714,1,3,1
"36694",365,0.526258988334765,0.418747115275812,0.0549938963894231,0.473741011665235,0.697459706544468,0.302540293455532,0.274365871307848,0.52589026275321,2,3,1
"366104",365,0.497258218161605,0.450862042208062,0.0518797396303325,0.502741781838394,0.682293250037232,0.317706749962768,0.291086096843874,0.52996726723712,3,3,1
"366115",365,0.467555530062741,0.484423424171396,0.0480210457658635,0.532444469937259,0.666757559416584,0.333242440583416,0.30821327716844,0.533228722063782,4,3,1
"366124",365,0.577516061903586,0.36103901379805,0.0614449242983635,0.422483938096414,0.72429305396193,0.27570694603807,0.244785554798259,0.52011371164714,1,4,1
"366134",365,0.592292444462211,0.354475404869962,0.053232150667827,0.407707555537789,0.698173263809451,0.301826736190549,0.261192051565079,0.519041469396304,2,4,1
"366144",365,0.600510997332428,0.353571127526543,0.0459178751410288,0.399489002667572,0.668809075595615,0.331190924404385,0.278754742782231,0.519540409217126,3,4,1
"366154",365,0.602493688404088,0.358108117776861,0.0393981938190515,0.397506311595912,0.635650258575595,0.364349741424405,0.297900279529684,0.521597863930918,4,4,1
