"","Scenario","Reduction","Lambda","pi","Outcome","Value"
"201","4","1","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","4.04103394879693"
"202","4","1","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.62198048763158"
"203","4","1","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.34819166788328"
"204","4","2","0.0196078431372549","0.52","PropAns","0.438250622300221"
"205","4","2","0.0196078431372549","0.52","PropMr","0.316305459322294"
"206","4","2","0.0196078431372549","0.52","PropAnsMr","0.278559165369123"
"207","4","2","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.10096559421713"
"208","4","2","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","3.95897267312102"
"209","4","2","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.71720438563471"
"210","4","2","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.40764437763245"
"211","4","3","0.0196078431372549","0.52","PropAns","0.427732500923458"
"212","4","3","0.0196078431372549","0.52","PropMr","0.341152768956833"
"213","4","3","0.0196078431372549","0.52","PropAnsMr","0.293590084994339"
"214","4","3","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.09282458293556"
"215","4","3","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","3.89778368169485"
"216","4","3","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.82204820867951"
"217","4","3","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.47175018240185"
"218","4","4","0.0196078431372549","0.52","PropAns","0.422213838604679"
"219","4","4","0.0196078431372549","0.52","PropMr","0.368610932705979"
"220","4","4","0.0196078431372549","0.52","PropAnsMr","0.309550013801481"
"221","4","4","0.0196078431372549","0.52","IncidenceInfectionsGraves","9.09632014570841"
"222","4","4","0.0196078431372549","0.52","IncidenceInfectionsGravesAns","3.85684772784771"
"223","4","4","0.0196078431372549","0.52","IncidenceInfectionsGravesMr","2.93803730358992"
"224","4","4","0.0196078431372549","0.52","IncidenceInfectionsGravesAnsMr","2.54158598096968"
"225","1","1","0.0196078431372549","0.56","PropAns","0.448010867277384"
"226","1","1","0.0196078431372549","0.56","PropMr","0.290213076013432"
"227","1","1","0.0196078431372549","0.56","PropAnsMr","0.26044121841308"
"228","1","1","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.82566797138791"
"229","1","1","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.32436436422979"
"230","1","1","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.80781699164739"
"231","1","1","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.51163078063002"
"232","1","2","0.0196078431372549","0.56","PropAns","0.402015648643232"
"233","1","2","0.0196078431372549","0.56","PropMr","0.266029141649808"
"234","1","2","0.0196078431372549","0.56","PropAnsMr","0.233772070185852"
"235","1","2","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.98059374316437"
"236","1","2","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.16101844683377"
"237","1","2","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.73037619511"
"238","1","2","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.41703828068797"
"239","1","3","0.0196078431372549","0.56","PropAns","0.360388413423955"
"240","1","3","0.0196078431372549","0.56","PropMr","0.24413119303591"
"241","1","3","0.0196078431372549","0.56","PropAnsMr","0.209622897066167"
"242","1","3","0.0196078431372549","0.56","IncidenceInfectionsGraves","10.1474178903805"
"243","1","3","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.00875142707998"
"244","1","3","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.65937089699496"
"245","1","3","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.32883250142083"
"246","1","4","0.0196078431372549","0.56","PropAns","0.32362812469208"
"247","1","4","0.0196078431372549","0.56","PropMr","0.224785125613183"
"248","1","4","0.0196078431372549","0.56","PropAnsMr","0.188286572511904"
"249","1","4","0.0196078431372549","0.56","IncidenceInfectionsGraves","10.3252993331038"
"250","1","4","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","3.86859495880368"
"251","1","4","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.59530410549756"
"252","1","4","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.24761703390502"
"253","2","1","0.0196078431372549","0.56","PropAns","0.448010867277384"
"254","2","1","0.0196078431372549","0.56","PropMr","0.290213076013432"
"255","2","1","0.0196078431372549","0.56","PropAnsMr","0.26044121841308"
"256","2","1","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.82566797138791"
"257","2","1","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.32436436422979"
"258","2","1","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.80781699164739"
"259","2","1","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.51163078063002"
"260","2","2","0.0196078431372549","0.56","PropAns","0.430562296738231"
"261","2","2","0.0196078431372549","0.56","PropMr","0.281048593705473"
"262","2","2","0.0196078431372549","0.56","PropAnsMr","0.250338845247508"
"263","2","2","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.884863779888"
"264","2","2","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.264324897606"
"265","2","2","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.77952126498164"
"266","2","2","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.47693299005248"
"267","2","3","0.0196078431372549","0.56","PropAns","0.410161311898855"
"268","2","3","0.0196078431372549","0.56","PropMr","0.270325235755495"
"269","2","3","0.0196078431372549","0.56","PropAnsMr","0.238517338520836"
"270","2","3","0.0196078431372549","0.56","IncidenceInfectionsGraves","9.96252182637394"
"271","2","3","0.0196078431372549","0.56","IncidenceInfectionsGravesAns","4.19349415030257"
"272","2","3","0.0196078431372549","0.56","IncidenceInfectionsGravesMr","2.74653574233226"
"273","2","3","0.0196078431372549","0.56","IncidenceInfectionsGravesAnsMr","2.43596668551888"
"274","2","4","0.0196078431372549","0.56","PropAns","0.380471695635343"
"275","2","4","0.0196078431372549","0.56","PropMr","0.254707046855738"
"276","2","4","0.0196078431372549","0.56","PropAnsMr","0.221296360129652"
"277","2","4","0.0196078431372549","0.56","IncidenceInfectionsGraves","10.0897161055436"
