"","Scenario","Outcome","Variable","Moyenne","Ecart_type"
"90","2","PropMr","TreatmentDuration_Macro","0.00632246851167381","0.0375999055577727"
"91","3","PropMr","Rcr","0.914153303177721","0.00664430697045755"
"92","3","PropMr","Ramox","0.675458093537135","0.025152755755837"
"93","3","PropMr","Rmacro","-0.913739529890663","0.00667118344920704"
"94","3","PropMr","ConsoAmox","0.497872437369859","0.0356090442956144"
"95","3","PropMr","ConsoMacro","-0.00574926961804463","0.0427576802008466"
"96","3","PropMr","pi","0.595006347117662","0.0251027093918039"
"97","3","PropMr","LambdaAge","0.706339060568034","0.0187865426549103"
"98","3","PropMr","TreatmentDuration_Amox","0.326442242250805","0.0279887124046766"
"99","3","PropMr","TreatmentDuration_Macro","-0.0210751799629477","0.0384706179451862"
"100","4","PropMr","Rcr","-0.922088456505901","0.00661801194787048"
"101","4","PropMr","Ramox","-0.808516136149836","0.0158267171954186"
"102","4","PropMr","Rmacro","0.797885339300627","0.0166149295432978"
"103","4","PropMr","ConsoAmox","0.625076906841994","0.0356341486544369"
"104","4","PropMr","ConsoMacro","-0.0579646735083766","0.044459746325917"
"105","4","PropMr","pi","0.590578920675935","0.0395087018318438"
"106","4","PropMr","LambdaAge","0.591349616822953","0.0340774062116277"
"107","4","PropMr","TreatmentDuration_Amox","-0.472466156077243","0.0313110503828819"
"108","4","PropMr","TreatmentDuration_Macro","0.558716606242808","0.0291055757736839"
"109","1","PropAnsMr","Rcr","0.0211312671945646","0.0501838048713479"
"110","1","PropAnsMr","Ramox","0.907202488768027","0.00831528038573981"
"111","1","PropAnsMr","Rmacro","-0.0367430294038507","0.0353063003809425"
"112","1","PropAnsMr","ConsoAmox","-0.947075457775356","0.00553284879028186"
"113","1","PropAnsMr","ConsoMacro","0.0374766186556844","0.0612120986060344"
"114","1","PropAnsMr","pi","-0.651597881422765","0.0339987693325616"
"115","1","PropAnsMr","LambdaAge","-0.580393492856439","0.0415913086037321"
"116","1","PropAnsMr","TreatmentDuration_Amox","-0.721848630311706","0.0202216203485219"
"117","1","PropAnsMr","TreatmentDuration_Macro","-0.0574199108648677","0.0481502548812803"
"118","2","PropAnsMr","Rcr","0.0398678314722294","0.0300161870749404"
"119","2","PropAnsMr","Ramox","0.850457422808217","0.0152553246521854"
"120","2","PropAnsMr","Rmacro","0.00696670099439865","0.0429663839364913"
"121","2","PropAnsMr","ConsoAmox","-0.877171146250218","0.0121328585198557"
"122","2","PropAnsMr","ConsoMacro","-0.00899477465485179","0.046230642140375"
"123","2","PropAnsMr","pi","-0.853953350980265","0.0111720733985072"
"124","2","PropAnsMr","LambdaAge","-0.792289151603283","0.0183721026742956"
"125","2","PropAnsMr","TreatmentDuration_Amox","-0.651918683825155","0.0350197100047398"
"126","2","PropAnsMr","TreatmentDuration_Macro","-0.0667494656148392","0.0468090954435409"
"127","3","PropAnsMr","Rcr","0.00851047881526861","0.0451504263039436"
"128","3","PropAnsMr","Ramox","-0.907217135809446","0.00907940178335083"
"129","3","PropAnsMr","Rmacro","-0.01302407872596","0.0419526428778545"
"130","3","PropAnsMr","ConsoAmox","0.671236917905074","0.0311565145528063"
"131","3","PropAnsMr","ConsoMacro","-0.00874515596146333","0.0370028674064232"
"132","3","PropAnsMr","pi","0.845728572090588","0.0156312225839034"
"133","3","PropAnsMr","LambdaAge","0.900955366489375","0.0133997871050113"
"134","3","PropAnsMr","TreatmentDuration_Amox","0.464025900087849","0.0411646252723649"
"135","3","PropAnsMr","TreatmentDuration_Macro","0.0349100962898835","0.0473419857102716"
"136","4","PropAnsMr","Rcr","0.48601299770407","0.0256906258513952"
"137","4","PropAnsMr","Ramox","0.895868870288583","0.00855684380635642"
"138","4","PropAnsMr","Rmacro","-0.895663437073108","0.00940744579993814"
"139","4","PropAnsMr","ConsoAmox","0.610797352134014","0.018725622875589"
"140","4","PropAnsMr","ConsoMacro","0.00690863537521541","0.0514687310789668"
"141","4","PropAnsMr","pi","0.627233459831016","0.0283621091665712"
"142","4","PropAnsMr","LambdaAge","0.646812676971708","0.0242051808506417"
"143","4","PropAnsMr","TreatmentDuration_Amox","-0.672752642674281","0.0260630302478914"
"144","4","PropAnsMr","TreatmentDuration_Macro","0.658907320237629","0.0301106808028292"
